"soilseriesiid","soilseriesname","soilseriesstatus","benchmarksoilflag","statsgoflag","taxclname","taxorder","taxsuborder","taxgrtgroup","taxsubgrp","taxpartsize","taxpartsizemod","taxminalogy","taxceactcl","taxreaction","taxtempcl","mlraoffice","areasymbol","areaname","areatypename","originyear","establishedyear","soiltaxclasslastupdated"
29884,"PRINDLE","Tentative",FALSE,FALSE,"LOAMY-SKELETAL, MIXED, SUPERACTIVE TYPIC HAPLOCRYEPTS","Inceptisols","Cryepts","Haplocryepts","Typic Haplocryepts","loamy-skeletal",NA,"mixed","superactive",NA,NA,"wasilla, AK","AK","Alaska","State or Territory",2022,NA,2023
17481,"PRINEVILLE","Established",FALSE,TRUE,"COARSE-LOAMY, MIXED, SUPERACTIVE, MESIC DURINODIC XERIC HAPLOCAMBIDS","Aridisols","Cambids","Haplocambids","Durinodic Xeric Haplocambids","coarse-loamy",NA,"mixed","superactive",NA,"mesic","bozeman, mt","OR","Oregon","State or Territory",NA,1963,1999
17482,"PRING","Established",TRUE,TRUE,"COARSE-LOAMY, MIXED, SUPERACTIVE, FRIGID ARIDIC HAPLUSTOLLS","Mollisols","Ustolls","Haplustolls","Aridic Haplustolls","coarse-loamy",NA,"mixed","superactive",NA,"frigid","bozeman, mt","CO","Colorado","State or Territory",NA,1946,1999
17483,"PRINGLE","Established",FALSE,TRUE,"COARSE-LOAMY OVER SANDY OR SANDY-SKELETAL, MIXED, SUPERACTIVE, FRIGID FLUVAQUENTIC HAPLUSTOLLS","Mollisols","Ustolls","Haplustolls","Fluvaquentic Haplustolls","coarse-loamy over sandy or sandy-skeletal",NA,"mixed","superactive",NA,"frigid","davis, ca","UT","Utah","State or Territory",NA,1975,1999
17484,"PRINSBURG","Established",FALSE,FALSE,"FINE-SILTY, MIXED, SUPERACTIVE, CALCAREOUS, MESIC TYPIC ENDOAQUOLLS","Mollisols","Aquolls","Endoaquolls","Typic Endoaquolls","fine-silty",NA,"mixed","superactive","calcareous","mesic","salina, ks","MN","Minnesota","State or Territory",1993,1995,2003
17485,"PRINTZ","Tentative",FALSE,FALSE,"FINE-LOAMY OVER SANDY OR SANDY-SKELETAL, MIXED, SUPERACTIVE, FRIGID ARIDIC HAPLUSTOLLS","Mollisols","Ustolls","Haplustolls","Aridic Haplustolls","fine-loamy over sandy or sandy-skeletal",NA,"mixed","superactive",NA,"frigid","bozeman, mt","MT","Montana","State or Territory",NA,NA,2003
17486,"PRISONEAR","Established",FALSE,FALSE,"SANDY, MIXED, THERMIC CALCIC PETROCALCIDS","Aridisols","Calcids","Petrocalcids","Calcic Petrocalcids","sandy",NA,"mixed",NA,NA,"thermic","davis, ca","NV","Nevada","State or Territory",1994,2006,2006
17487,"PRISSEL","Established",FALSE,FALSE,"LOAMY, MIXED, ACTIVE, MESIC ARENIC HAPLUDALFS","Alfisols","Udalfs","Hapludalfs","Arenic Hapludalfs","loamy",NA,"mixed","active",NA,"mesic","salina, ks","WI","Wisconsin","State or Territory",1996,1998,1999
17488,"PRITCHARD","Established",FALSE,FALSE,"FINE, SMECTITIC, MESIC TYPIC PALEXEROLLS","Mollisols","Xerolls","Palexerolls","Typic Palexerolls","fine",NA,"smectitic",NA,NA,"mesic","bozeman, mt","OR","Oregon","State or Territory",1984,1988,1997
17489,"PRITCHETT","Established",FALSE,TRUE,"CLAYEY-SKELETAL, SMECTITIC ABRUPTIC PALECRYOLLS","Mollisols","Cryolls","Palecryolls","Abruptic Palecryolls","clayey-skeletal",NA,"smectitic",NA,NA,NA,"davis, ca","UT","Utah","State or Territory",NA,1971,1999
17490,"PRIVER","Tentative",FALSE,FALSE,"LOAMY-SKELETAL, MIXED, SUPERACTIVE, FRIGID, SHALLOW TYPIC HAPLOXEROLLS","Mollisols","Xerolls","Haploxerolls","Typic Haploxerolls","loamy-skeletal",NA,"mixed","superactive",NA,"frigid","bozeman, mt","ID","Idaho","State or Territory",1989,NA,2002
17491,"PROBERT","Established",FALSE,FALSE,"FINE-LOAMY, MIXED, SUPERACTIVE, MESIC TYPIC CALCIXEROLLS","Mollisols","Xerolls","Calcixerolls","Typic Calcixerolls","fine-loamy",NA,"mixed","superactive",NA,"mesic","davis, ca","UT","Utah","State or Territory",1995,1995,1998
17492,"PROCHASKA","Established",FALSE,TRUE,"SANDY, MIXED, MESIC FLUVAQUENTIC ENDOAQUOLLS","Mollisols","Aquolls","Endoaquolls","Fluvaquentic Endoaquolls","sandy",NA,"mixed",NA,NA,"mesic","morgantown, wv","IN","Indiana","State or Territory",NA,1980,2021
30119,"PROCKY","Established",FALSE,FALSE,"CLAYEY-SKELETAL, MIXED, SUPERACTIVE, MESIC TYPIC ARGIUSTOLLS","Mollisols","Ustolls","Argiustolls","Typic Argiustolls","clayey-skeletal",NA,"mixed","superactive",NA,"mesic",NA,"AZ","Arizona","State or Territory",2024,2024,2025
17493,"PROCTOR","Established",TRUE,TRUE,"FINE-SILTY, MIXED, SUPERACTIVE, MESIC TYPIC ARGIUDOLLS","Mollisols","Udolls","Argiudolls","Typic Argiudolls","fine-silty",NA,"mixed","superactive",NA,"mesic","salina, ks","IL","Illinois","State or Territory",NA,1929,2022
3831,"PROGRESS","Established",FALSE,FALSE,"COARSE-LOAMY, MIXED, SUPERACTIVE TYPIC HAPLOCRYEPTS","Inceptisols","Cryepts","Haplocryepts","Typic Haplocryepts","coarse-loamy",NA,"mixed","superactive",NA,NA,"wasilla, AK","AK","Alaska","State or Territory",1989,1990,2022
17494,"PROGRESSO","Established",FALSE,TRUE,"FINE-LOAMY, MIXED, SUPERACTIVE, MESIC USTIC CALCIARGIDS","Aridisols","Argids","Calciargids","Ustic Calciargids","fine-loamy",NA,"mixed","superactive",NA,"mesic","bozeman, mt","CO","Colorado","State or Territory",NA,1940,2003
17495,"PROMISE","Established",TRUE,TRUE,"VERY-FINE, SMECTITIC, MESIC TYPIC HAPLUSTERTS","Vertisols","Usterts","Haplusterts","Typic Haplusterts","very-fine",NA,"smectitic",NA,NA,"mesic","salina, ks","SD","South Dakota","State or Territory",NA,1955,1996
17496,"PROMO","Established",FALSE,TRUE,"LOAMY-SKELETAL, MIXED, ACTIVE, CALCAREOUS, MESIC LITHIC XERIC TORRIORTHENTS","Entisols","Orthents","Torriorthents","Lithic Xeric Torriorthents","loamy-skeletal",NA,"mixed","active","calcareous","mesic","davis, ca","UT","Utah","State or Territory",NA,1969,2002
17497,"PROMONTORY","Established",FALSE,FALSE,"LOAMY, MIXED, SUPERACTIVE, MESIC, SHALLOW USTIC PETROCALCIDS","Aridisols","Calcids","Petrocalcids","Ustic Petrocalcids","loamy",NA,"mixed","superactive",NA,"mesic","davis, ca","AZ","Arizona","State or Territory",1993,2005,2005
17498,"PRONG","Established",FALSE,FALSE,"LOAMY-SKELETAL, ISOTIC VITRANDIC HUMICRYEPTS","Inceptisols","Cryepts","Humicryepts","Vitrandic Humicryepts","loamy-skeletal",NA,"isotic",NA,NA,NA,"bozeman, mt","OR","Oregon","State or Territory",NA,1974,2006
17499,"PROPER","Established",FALSE,FALSE,"SANDY, MIXED, FRIGID, ORTSTEIN OXYAQUIC HAPLORTHODS","Spodosols","Orthods","Haplorthods","Oxyaquic Haplorthods","sandy",NA,"mixed",NA,NA,"frigid","morgantown, wv","MI","Michigan","State or Territory",1994,1999,2001
